Prioridade;Segmento;Produto;Preço;Link;Shopee;Segmento_Original
999;Cafeteira nespresso;Nespresso VertuoPlus;US$100;https://www.facebook.com/marketplace/item/1416536123835711/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A1766764e-d307-4529-b349-813521246ef5&__tn__=!%3AD;https://shopee.com.br/search?keyword=Nespresso%20VertuoPlus;Cafeteira nespresso
999;Perfume árabe;Arabic Perfume para Mujer;US$45;https://www.facebook.com/marketplace/item/889795950257576/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A172ec94d-57e8-4a33-b80a-8826a0698cdc&__tn__=!%3AD;https://shopee.com.br/search?keyword=Arabic%20Perfume%20para%20Mujer;Perfume árabe
999;Smartwatch amoled;Amazfit smart watch;"US$35
US$60";https://www.facebook.com/marketplace/item/1519756415795864/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A40957e6c-c122-49a9-8c1b-751ef7b5e50f&__tn__=!%3AD;https://shopee.com.br/search?keyword=Amazfit%20smart%20watch;Smartwatch amoled
999;Air fryer;Gourmia 1700W 9-Slice Digital Toaster Oven Air Fryer, 12 Cooking Preset, 35L, Stainless Steel;"US$95
US$140";https://www.facebook.com/marketplace/item/1401185691466564/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab9845548-c428-4280-9e68-1b7a7c0bb2e3&__tn__=!%3AD;https://shopee.com.br/search?keyword=Gourmia%201700W%209-Slice%20Digital%20Toaster%20Oven%20Air%20Fryer,%2012%20Cooking%20Preset,%2035L,%20Stainless%20Steel;Air fryer
999;Monitor 4k;"Dell - S2725QC 27"" IPS LED 4K UHD 120Hz FreeSync Premium Monitor (USB-C, HDMI)";US$250;https://www.facebook.com/marketplace/item/2332198057192311/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A764b163f-6bf6-4f8c-ad9f-5e45651790df&__tn__=!%3AD;"https://shopee.com.br/search?keyword=Dell%20-%20S2725QC%2027""%20IPS%20LED%204K%20UHD%20120Hz%20FreeSync%20Premium%20Monitor%20(USB-C,%20HDMI)";Monitor 4k
999;Playstation 5;PlayStation 5 Console (Slim);US$410;https://www.facebook.com/marketplace/item/1608390206840772/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A507e14ac-c778-42d7-9483-34ef581f173f&__tn__=!%3AD;https://shopee.com.br/search?keyword=PlayStation%205%20Console%20(Slim);Playstation 5
999;Robô aspirador;Aspirador inalámbrico VersLife 2 en 1 Limpiador, Robot Aspirador Recargable Tipo C Limpiador Inalám;US$90;https://www.facebook.com/marketplace/item/1753088122317941/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab888cb88-1b60-4d35-9a08-b9d9f1b6f8f6&__tn__=!%3AD;https://shopee.com.br/search?keyword=Aspirador%20inalámbrico%20VersLife%202%20en%201%20Limpiador,%20Robot%20Aspirador%20Recargable%20Tipo%20C%20Limpiador%20Inalám;Robô aspirador
999;Creatina;CREATE Creatine gummies- unopened, 2 packs of 45 pieces each.;US$20;https://www.facebook.com/marketplace/item/1266361538789294/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8317c2e1-50e0-4cf2-8a07-f9a9e5dec437&__tn__=!%3AD;https://shopee.com.br/search?keyword=CREATE%20Creatine%20gummies-%20unopened,%202%20packs%20of%2045%20pieces%20each.;Creatina
999;Skincare;Trio moisturizer skin better;US$80;https://www.facebook.com/marketplace/item/2004412353474894/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Affb73c06-1907-423f-8f5e-26b5bc32e064&__tn__=!%3AD;https://shopee.com.br/search?keyword=Trio%20moisturizer%20skin%20better;Skincare
999;Notebook dell;iPhone 13 128GB UNLOCKED;US$225;https://www.facebook.com/marketplace/item/2295255234320614/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac678ce4c-8b5e-41d8-9bc6-077c10a2aa9e&__tn__=!%3AD;https://shopee.com.br/search?keyword=iPhone%2013%20128GB%20UNLOCKED;Notebook dell
999;Whey protein;Proteın powder;US$50;https://www.facebook.com/marketplace/item/857681993534836/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4e944566-3941-48c0-b254-9cdac29dc612&__tn__=!%3AD;https://shopee.com.br/search?keyword=Proteın%20powder;Whey protein
999;Kit halteres;Harley Davidson Hawg Halter 7 degree Rake Tree Kit 41mm forks 09-13? New in box;US$500;https://www.facebook.com/marketplace/item/737480212132112/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A01a79d23-c9a8-4ee5-b0ff-5208db899a07&__tn__=!%3AD;https://shopee.com.br/search?keyword=Harley%20Davidson%20Hawg%20Halter%207%20degree%20Rake%20Tree%20Kit%2041mm%20forks%2009-13?%20New%20in%20box;Kit halteres
999;Iphone 13;iPhone 13 - White excellent condition;US$275;https://www.facebook.com/marketplace/item/3133508893501409/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD;https://shopee.com.br/search?keyword=iPhone%2013%20-%20White%20excellent%20condition;Iphone 13
998;Monitor 4k;LG 35 inch curved ultra wide monitor;US$150;https://www.facebook.com/marketplace/item/1364533778672724/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A764b163f-6bf6-4f8c-ad9f-5e45651790df&__tn__=!%3AD;https://shopee.com.br/search?keyword=LG%2035%20inch%20curved%20ultra%20wide%20monitor;Monitor 4k
998;Air fryer;Brand New Air Fryer;US$30;https://www.facebook.com/marketplace/item/858648650208904/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab9845548-c428-4280-9e68-1b7a7c0bb2e3&__tn__=!%3AD;https://shopee.com.br/search?keyword=Brand%20New%20Air%20Fryer;Air fryer
998;Robô aspirador;Roborock Saros - Robot vacuum cleaner and mop 10R,;"COP1.150
COP1.300";https://www.facebook.com/marketplace/item/830249433337636/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab888cb88-1b60-4d35-9a08-b9d9f1b6f8f6&__tn__=!%3AD;https://shopee.com.br/search?keyword=Roborock%20Saros%20-%20Robot%20vacuum%20cleaner%20and%20mop%2010R,;Robô aspirador
998;Playstation 5;Sony PlayStation 5 portable handheld;US$115;https://www.facebook.com/marketplace/item/1222206836542144/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A507e14ac-c778-42d7-9483-34ef581f173f&__tn__=!%3AD;https://shopee.com.br/search?keyword=Sony%20PlayStation%205%20portable%20handheld;Playstation 5
998;Cafeteira nespresso;Nespresso vertuoline coffee machine and clear glass stand with pod holder;US$75;https://www.facebook.com/marketplace/item/1717977162495773/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A1766764e-d307-4529-b349-813521246ef5&__tn__=!%3AD;https://shopee.com.br/search?keyword=Nespresso%20vertuoline%20coffee%20machine%20and%20clear%20glass%20stand%20with%20pod%20holder;Cafeteira nespresso
998;Kit halteres;Bulletproof fitness isolator;US$600;https://www.facebook.com/marketplace/item/2945347135855752/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A01a79d23-c9a8-4ee5-b0ff-5208db899a07&__tn__=!%3AD;https://shopee.com.br/search?keyword=Bulletproof%20fitness%20isolator;Kit halteres
998;Creatina;Cymbiotika Creatine Supplement;US$45;https://www.facebook.com/marketplace/item/1476725194018711/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8317c2e1-50e0-4cf2-8a07-f9a9e5dec437&__tn__=!%3AD;https://shopee.com.br/search?keyword=Cymbiotika%20Creatine%20Supplement;Creatina
998;Whey protein;Nutricost whey protein;US$50;https://www.facebook.com/marketplace/item/2062264414549485/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4e944566-3941-48c0-b254-9cdac29dc612&__tn__=!%3AD;https://shopee.com.br/search?keyword=Nutricost%20whey%20protein;Whey protein
998;Smartwatch amoled;X90 Ultra 2 Smart Watch (49mm) – Brand New Sealed;US$35;https://www.facebook.com/marketplace/item/695640143486947/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A40957e6c-c122-49a9-8c1b-751ef7b5e50f&__tn__=!%3AD;https://shopee.com.br/search?keyword=X90%20Ultra%202%20Smart%20Watch%20(49mm)%20–%20Brand%20New%20Sealed;Smartwatch amoled
998;Perfume árabe;La Bomba Perfume SEALED;US$75;https://www.facebook.com/marketplace/item/1710490963258506/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A172ec94d-57e8-4a33-b80a-8826a0698cdc&__tn__=!%3AD;https://shopee.com.br/search?keyword=La%20Bomba%20Perfume%20SEALED;Perfume árabe
998;Iphone 13;Apple iPhone 13 Pro Max 128 GB in Sierra Blue for Unlocked TX26-MS;US$102;https://www.facebook.com/marketplace/item/773697418511223/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD;https://shopee.com.br/search?keyword=Apple%20iPhone%2013%20Pro%20Max%20128%20GB%20in%20Sierra%20Blue%20for%20Unlocked%20TX26-MS;Iphone 13
998;Skincare;$10 each high-end skincare items;US$10;https://www.facebook.com/marketplace/item/1119961230205245/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Affb73c06-1907-423f-8f5e-26b5bc32e064&__tn__=!%3AD;https://shopee.com.br/search?keyword=$10%20each%20high-end%20skincare%20items;Skincare
998;Notebook dell;Apple Iphone 13 256GB Unlocked/ Desbloqueado;US$295;https://www.facebook.com/marketplace/item/1665262011523339/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac678ce4c-8b5e-41d8-9bc6-077c10a2aa9e&__tn__=!%3AD;https://shopee.com.br/search?keyword=Apple%20Iphone%2013%20256GB%20Unlocked/%20Desbloqueado;Notebook dell
997;Kit halteres;Greenwood, CA;US$5;https://www.facebook.com/marketplace/item/836188206073608/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A01a79d23-c9a8-4ee5-b0ff-5208db899a07&__tn__=!%3AD;https://shopee.com.br/search?keyword=Greenwood,%20CA;Kit halteres
997;Notebook dell;iPhone 13 Unlocked 128GB;US$200;https://www.facebook.com/marketplace/item/732542629679100/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac678ce4c-8b5e-41d8-9bc6-077c10a2aa9e&__tn__=!%3AD;https://shopee.com.br/search?keyword=iPhone%2013%20Unlocked%20128GB;Notebook dell
997;Iphone 13;Apple IPhone 13 Pro Max 1Tb;US$400;https://www.facebook.com/marketplace/item/1555801658981487/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD;https://shopee.com.br/search?keyword=Apple%20IPhone%2013%20Pro%20Max%201Tb;Iphone 13
997;Cafeteira nespresso;☕ Nespresso VertuoLine Coffee & Espresso Machine – Red;"US$40
US$80";https://www.facebook.com/marketplace/item/2429963924123371/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A1766764e-d307-4529-b349-813521246ef5&__tn__=!%3AD;https://shopee.com.br/search?keyword=☕%20Nespresso%20VertuoLine%20Coffee%20&%20Espresso%20Machine%20–%20Red;Cafeteira nespresso
997;Creatina;PLATINUM 100% CREATINE;US$150;https://www.facebook.com/marketplace/item/1533695874708854/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A8317c2e1-50e0-4cf2-8a07-f9a9e5dec437&__tn__=!%3AD;https://shopee.com.br/search?keyword=PLATINUM%20100%%20CREATINE;Creatina
997;Whey protein;Men’s Whey Protein Powder, Chocolate, Grass Fed BB 09/27;US$35;https://www.facebook.com/marketplace/item/1401207401409435/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A4e944566-3941-48c0-b254-9cdac29dc612&__tn__=!%3AD;https://shopee.com.br/search?keyword=Men’s%20Whey%20Protein%20Powder,%20Chocolate,%20Grass%20Fed%20BB%2009/27;Whey protein
997;Perfume árabe;New set mini perfumes;US$15;https://www.facebook.com/marketplace/item/1934715527115348/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A172ec94d-57e8-4a33-b80a-8826a0698cdc&__tn__=!%3AD;https://shopee.com.br/search?keyword=New%20set%20mini%20perfumes;Perfume árabe
997;Skincare;Larocheposay skincare set;US$15;https://www.facebook.com/marketplace/item/832626409761885/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Affb73c06-1907-423f-8f5e-26b5bc32e064&__tn__=!%3AD;https://shopee.com.br/search?keyword=Larocheposay%20skincare%20set;Skincare
997;Air fryer;Ninja 4 quart air fryer;US$30;https://www.facebook.com/marketplace/item/1107625931331529/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab9845548-c428-4280-9e68-1b7a7c0bb2e3&__tn__=!%3AD;https://shopee.com.br/search?keyword=Ninja%204%20quart%20air%20fryer;Air fryer
997;Robô aspirador;Robot aspirador;US$450;https://www.facebook.com/marketplace/item/837271365469341/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab888cb88-1b60-4d35-9a08-b9d9f1b6f8f6&__tn__=!%3AD;https://shopee.com.br/search?keyword=Robot%20aspirador;Robô aspirador
997;Playstation 5;Playstation 5;US$120;https://www.facebook.com/marketplace/item/3255270031307578/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A507e14ac-c778-42d7-9483-34ef581f173f&__tn__=!%3AD;https://shopee.com.br/search?keyword=Playstation%205;Playstation 5
